Spot	Secondary forest	X	Y
CFm0001x	0	174965.354	9734991.76
CFm0002x	0	175809.985	9735244.88
CFm0003x	0	175670.61	9734253.725
CFm0004L	0	176634.254	9734421.712
CFm0004O	0	176529.696	9734416.435
CFm0004x	0	176590.792	9734422.665
CFm0005x	0	174839.153	9732787.904
CFm0006x	0	174839.153	9733181.479
CFm0007x	0	174830.223	9733563.378
CFm0008x	0	175935.471	9733995.421
CFm0009x	0	174839.677	9733975.83
CFm0010x	0	177197.943	9732327.013
CFm0011x	0	177476.438	9732781.726
CFm0012x	0	177064.717	9733501.963
CFm0013x	0	177209.32	9733915.559
CFm0014x	0	175369.975	9734938.676
CFm0015x	0	176290.653	9734829.013
CFm0016x	0	177338.929	9734192.364
CFm0017x	0	175181.036	9734176.576
CFm0018x	0	176923.624	9734200.33
CFm0019x	0	176363.765	9733881.578
CFm0020x	0	176204.3283	9733226.255
CFm0021x	0	176768.448	9733772.321
CFm0022L	0	176628.467	9733284.372
CFm0022N	0	176603.674	9733360.503
CFm0022x	0	176582.835	9733307.4
CFm0023x	0	177792.194	9733718.363
CFm0024x	0	177146.198	9733117.398
CFm0025x	0	177661.253	9733305.756
CFm0026x	0	175262.893	9734586.104
CFm0027x	0	176172.654	9734354.281
CFm0028x	0	175719.645	9734715.18
CFm0029x	0	175623.159	9733746.765
CFm0030L	0	176225.943	9734456.215
CFm0030O	0	176138.343	9734466.912
CFm0030x	0	176185.583	9734471.419
CFm0031L	0	175730.902	9734520.461
CFm0031O	0	175640.553	9734536.594
CFm0031x	0	175707.883	9734520.056
CFm0032L	0	175287.413	9734579.375
CFm0032S	0	175221.817	9734538.422
CFm0032x	0	175248.87	9734587.352
CFm0033N	0	175297.449	9735006.579
CFm0033O	0	175215.455	9734954.707
CFm0033x	0	175273.055	9734956.71
CFm0034L	0	175784.855	9734887.898
CFm0034O	0	175686.273	9734914.897
CFm0034x	0	175732.082	9734883.206
CFm0035L	0	176307.733	9734818.266
CFm0035N	0	176263.8	9734886.195
CFm0035x	0	176247.247	9734831.544
CFm0036L	0	177702.553	9733969.597
CFm0036O	0	177584.787	9734010.159
CFm0036x	0	177650.602	9733987.303
CFm0037L	0	176968.521	9734242.845
CFm0037S	0	176897.434	9734210.043
CFm0037x	0	176912.274	9734257.605
CFm0038N	0	177526.686	9733019.643
CFm0038O	0	177472.033	9732981.434
CFm0038x	0	177506.039	9732978.402
CFm0039N	0	177133.872	9733704.464
CFm0039S	0	177090.316	9733595.537
CFm0039x	0	177123.798	9733644.812
CFm0040x	0	175714.2846	9734955.54
CFm0041x	0	175727.9773	9735055.497
CFm0042x	0	175743.7238	9735156.274
CFm0043x	0	175648.5599	9735171.336
CFm0044x	0	175634.1826	9735069.874
CFm0045x	0	175619.1207	9734969.917
CFm0046x	0	175551.3421	9735185.029
CFm0047x	0	175539.0187	9735085.62
CFm0048x	0	175522.5875	9734984.295
CLc0001L	1	178650.663	9735283.427
CLc0001N	1	178633.964	9735397.955
CLc0001x	1	178615.393	9735345.507
CLc0002L	1	178720.68	9735825.02
CLc0002S	1	178687.787	9735752.129
CLc0002x	1	178676.869	9735798.723
CLc0003N	1	178987.569	9735220.969
CLc0003O	1	178924.572	9735172.45
CLc0003x	1	179002.828	9735169.432
CLc0004L	1	178336.177	9735712.305
CLc0004O	1	178235.359	9735770.943
CLc0004x	1	178299.293	9735738.965
CLc0006x	1	179300.235	9735452.923
CLc0005x	1	179296.631	9735453.984
CLc0007N	1	180609.956	9735866.091
CLc0007S	1	180623.924	9735774.244
CLc0008N	1	180169.484	9735840.396
CLc0008S	1	180183.298	9735731.02
CLc0009L	1	179761.039	9735514.245
CLc0009O	1	179655.601	9735532.067
CLc0010L	1	181790.663	9734506.747
CLc0010O	1	181739.275	9734591.171
CLc0010x	1	181766.714	9734537.853
CLc0011L	1	181232.733	9735083.031
CLc0011O	1	181144.639	9735068.348
CLc0011x	1	181186.156	9735092.886
CLc0012N	1	180349.343	9735183.36
